Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time
2018-10-31,Chin Up,Back,73.0,5,,,
2018-10-31,Chin Up,Back,73.0,5,,,
2018-10-31,Chin Up,Back,73.0,5,,,
2018-10-31,Ring Dip,Triceps,73.0,15,,,
2018-10-31,Ring Dip,Triceps,73.0,12,,,
2018-10-31,Ring Dip,Triceps,73.0,12,,,
2018-10-31,Ring Dip,Triceps,73.0,14,,,
2018-10-31,Ring Dip,Triceps,73.0,12,,,
2018-10-31,Leg Press,Legs,110.0,12,,,
2018-10-31,Leg Press,Legs,110.0,12,,,
2018-10-31,Leg Press,Legs,100.0,12,,,
2018-10-31,Leg Press,Legs,100.0,12,,,
2018-11-02,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-02,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-11-02,Seated Dumbbell Press,Shoulders,20.0,7,,,
2018-11-02,Seated Dumbbell Press,Shoulders,18.0,7,,,
2018-11-02,Seated Dumbbell Press,Shoulders,18.0,6,,,
2018-11-02,Chin Up,Back,73.0,5,,,
2018-11-02,Chin Up,Back,73.0,5,,,
2018-11-02,Chin Up,Back,73.0,5,,,
2018-11-02,Chin Up,Back,73.0,5,,,
2018-11-02,Chin Up,Back,73.0,5,,,
2018-11-02,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-02,Seated Calf Raise Machine,Legs,35.0,30,,,
2018-11-02,Seated Calf Raise Machine,Legs,35.0,25,,,
2018-11-02,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-02,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-03,Incline Barbell Bench Press,Chest,60.0,7,,,
2018-11-03,Incline Barbell Bench Press,Chest,60.0,5,,,
2018-11-03,Incline Barbell Bench Press,Chest,60.0,4,,,
2018-11-03,Incline Barbell Bench Press,Chest,55.0,5,,,
2018-11-03,Incline Barbell Bench Press,Chest,55.0,5,,,
2018-11-03,Ring Dip,Triceps,73.0,8,,,
2018-11-03,Ring Dip,Triceps,73.0,8,,,
2018-11-03,Ring Dip,Triceps,73.0,8,,,
2018-11-03,Ring Dip,Triceps,73.0,8,,,
2018-11-03,Ring Dip,Triceps,73.0,8,,,
2018-11-03,Leg Press,Legs,110.0,12,,,
2018-11-03,Leg Press,Legs,110.0,12,,,
2018-11-03,Leg Press,Legs,110.0,12,,,
2018-11-03,Leg Press,Legs,110.0,8,,,
2018-11-06,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-06,Seated Dumbbell Press,Shoulders,18.0,10,,,
2018-11-06,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-11-06,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-11-06,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-11-06,Chin Up,Back,73.0,5,,,
2018-11-06,Chin Up,Back,73.0,5,,,
2018-11-06,Chin Up,Back,73.0,5,,,
2018-11-06,Chin Up,Back,73.0,5,,,
2018-11-06,Chin Up,Back,73.0,5,,,
2018-11-06,Seated Calf Raise Machine,Legs,35.0,30,,,
2018-11-06,Seated Calf Raise Machine,Legs,35.0,30,,,
2018-11-06,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-06,Seated Calf Raise Machine,Legs,30.0,25,,,
2018-11-06,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-07,Barbell Squat,Legs,40.0,10,,,
2018-11-07,Barbell Squat,Legs,50.0,8,,,
2018-11-07,Barbell Squat,Legs,50.0,8,,,
2018-11-07,Barbell Squat,Legs,50.0,8,,,
2018-11-07,Barbell Squat,Legs,50.0,8,,,
2018-11-07,Leg Press,Legs,110.0,10,,,
2018-11-07,Leg Press,Legs,100.0,12,,,
2018-11-07,Leg Press,Legs,100.0,12,,,
2018-11-08,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-11-08,Seated Dumbbell Press,Shoulders,20.0,7,,,
2018-11-08,Seated Dumbbell Press,Shoulders,18.0,9,,,
2018-11-08,Seated Dumbbell Press,Shoulders,18.0,9,,,
2018-11-08,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-11-08,Incline Barbell Bench Press,Chest,50.0,5,,,
2018-11-08,Incline Barbell Bench Press,Chest,50.0,8,,,
2018-11-08,Incline Barbell Bench Press,Chest,50.0,8,,,
2018-11-08,Incline Barbell Bench Press,Chest,50.0,8,,,
2018-11-08,Incline Barbell Bench Press,Chest,50.0,6,,,
2018-11-09,Chin Up,Back,75.0,5,,,
2018-11-09,Chin Up,Back,79.0,5,,,
2018-11-09,Chin Up,Back,79.0,5,,,
2018-11-09,Chin Up,Back,79.0,5,,,
2018-11-09,Chin Up,Back,79.0,5,,,
2018-11-09,Chin Up,Back,75.0,5,,,
2018-11-09,Ring Dip,Triceps,73.0,12,,,
2018-11-09,Ring Dip,Triceps,73.0,10,,,
2018-11-09,Ring Dip,Triceps,73.0,12,,,
2018-11-09,Ring Dip,Triceps,73.0,12,,,
2018-11-09,Seated Calf Raise Machine,Legs,30.0,35,,,
2018-11-09,Seated Calf Raise Machine,Legs,30.0,27,,,
2018-11-09,Seated Calf Raise Machine,Legs,30.0,25,,,
2018-11-09,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-09,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-09,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-09,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-10,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-10,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-11-10,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-10,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-10,Seated Dumbbell Press,Shoulders,20.0,7,,,
2018-11-10,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-11-10,Barbell Squat,Legs,40.0,10,,,
2018-11-10,Barbell Squat,Legs,50.0,10,,,
2018-11-10,Barbell Squat,Legs,60.0,6,,,
2018-11-10,Barbell Squat,Legs,60.0,6,,,
2018-11-10,Barbell Squat,Legs,60.0,6,,,
2018-11-10,Leg Press,Legs,110.0,12,,,
2018-11-10,Leg Press,Legs,110.0,12,,,
2018-11-10,Leg Press,Legs,110.0,12,,,
2018-11-10,Leg Press,Legs,110.0,10,,,
2018-11-12,Chin Up,Back,80.0,5,,,
2018-11-12,Chin Up,Back,80.0,5,,,
2018-11-12,Chin Up,Back,80.0,5,,,
2018-11-12,Chin Up,Back,80.0,5,,,
2018-11-12,Chin Up,Back,80.0,5,,,
2018-11-12,Ring Dip,Triceps,75.0,12,,,
2018-11-12,Ring Dip,Triceps,75.0,12,,,
2018-11-12,Ring Dip,Triceps,75.0,12,,,
2018-11-12,Ring Dip,Triceps,75.0,12,,,
2018-11-12,Ring Dip,Triceps,75.0,12,,,
2018-11-12,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-12,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-12,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-12,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-12,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-11-12,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-12,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-12,Seated Calf Raise Machine,Legs,30.0,26,,,
2018-11-12,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-12,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-14,Chin Up,Back,80.0,5,,,
2018-11-14,Chin Up,Back,80.0,5,,,
2018-11-14,Chin Up,Back,80.0,5,,,
2018-11-14,Chin Up,Back,80.0,5,,,
2018-11-14,Chin Up,Back,80.0,5,,,
2018-11-14,Incline Barbell Bench Press,Chest,50.0,12,,,
2018-11-14,Incline Barbell Bench Press,Chest,50.0,12,,,
2018-11-14,Incline Barbell Bench Press,Chest,50.0,10,,,
2018-11-14,Incline Barbell Bench Press,Chest,50.0,8,,,
2018-11-14,Incline Barbell Bench Press,Chest,50.0,8,,,
2018-11-14,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-14,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-14,Seated Calf Raise Machine,Legs,30.0,25,,,
2018-11-14,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-14,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-15,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-11-15,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-15,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-15,Seated Dumbbell Press,Shoulders,20.0,7,,,
2018-11-15,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-11-15,Leg Press,Legs,120.0,12,,,
2018-11-15,Leg Press,Legs,120.0,12,,,
2018-11-15,Leg Press,Legs,120.0,12,,,
2018-11-15,Leg Press,Legs,120.0,12,,,
2018-11-15,Leg Press,Legs,110.0,12,,,
2018-11-15,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-15,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-15,Seated Calf Raise Machine,Legs,25.0,25,,,
2018-11-15,Seated Calf Raise Machine,Legs,25.0,22,,,
2018-11-15,Seated Calf Raise Machine,Legs,25.0,25,,,
2018-11-17,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-17,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-17,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-17,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-17,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-11-17,Chin Up,Back,80.0,5,,,
2018-11-17,Chin Up,Back,80.0,5,,,
2018-11-17,Chin Up,Back,80.0,5,,,
2018-11-17,Chin Up,Back,80.0,5,,,
2018-11-17,Chin Up,Back,75.0,7,,,
2018-11-17,Chin Up,Back,75.0,6,,,
2018-11-17,Leg Press,Legs,120.0,12,,,
2018-11-17,Leg Press,Legs,120.0,12,,,
2018-11-17,Leg Press,Legs,120.0,12,,,
2018-11-17,Leg Press,Legs,120.0,12,,,
2018-11-19,Chin Up,Back,80.0,5,,,
2018-11-19,Chin Up,Back,80.0,5,,,
2018-11-19,Chin Up,Back,80.0,5,,,
2018-11-19,Chin Up,Back,80.0,5,,,
2018-11-19,Chin Up,Back,80.0,5,,,
2018-11-19,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-11-19,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-19,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-19,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-11-19,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-19,Seated Calf Raise Machine,Legs,25.0,35,,,
2018-11-19,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-19,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-19,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-19,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-20,Leg Press,Legs,120.0,12,,,
2018-11-20,Leg Press,Legs,130.0,12,,,
2018-11-20,Leg Press,Legs,120.0,12,,,
2018-11-20,Leg Press,Legs,120.0,12,,,
2018-11-20,Leg Press,Legs,120.0,12,,,
2018-11-20,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-20,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-23,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-11-23,Seated Dumbbell Press,Shoulders,20.0,11,,,
2018-11-23,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-23,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-23,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-23,Chin Up,Back,80.0,5,,,
2018-11-23,Chin Up,Back,80.0,5,,,
2018-11-23,Chin Up,Back,80.0,5,,,
2018-11-23,Chin Up,Back,80.0,5,,,
2018-11-23,Chin Up,Back,80.0,5,,,
2018-11-23,Leg Press,Legs,130.0,12,,,
2018-11-23,Leg Press,Legs,130.0,12,,,
2018-11-23,Leg Press,Legs,130.0,12,,,
2018-11-23,Leg Press,Legs,130.0,12,,,
2018-11-24,Incline Barbell Bench Press,Chest,60.0,6,,,
2018-11-24,Incline Barbell Bench Press,Chest,50.0,10,,,
2018-11-24,Incline Barbell Bench Press,Chest,50.0,8,,,
2018-11-24,Incline Barbell Bench Press,Chest,50.0,7,,,
2018-11-24,Incline Barbell Bench Press,Chest,50.0,6,,,
2018-11-24,Incline Barbell Bench Press,Chest,50.0,6,,,
2018-11-24,Seated Machine Curl,Biceps,25.0,20,,,
2018-11-24,Seated Machine Curl,Biceps,25.0,17,,,
2018-11-24,Seated Machine Curl,Biceps,25.0,12,,,
2018-11-24,Seated Machine Curl,Biceps,25.0,12,,,
2018-11-24,Seated Machine Curl,Biceps,25.0,12,,,
2018-11-24,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-24,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-24,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-24,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-27,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-11-27,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-27,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-27,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-27,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-27,Incline Barbell Bench Press,Chest,60.0,4,,,
2018-11-27,Incline Barbell Bench Press,Chest,50.0,10,,,
2018-11-27,Incline Barbell Bench Press,Chest,50.0,10,,,
2018-11-27,Incline Barbell Bench Press,Chest,50.0,10,,,
2018-11-27,Incline Barbell Bench Press,Chest,50.0,8,,,
2018-11-27,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-27,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-27,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-27,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-27,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-28,Chin Up,Back,80.0,6,,,
2018-11-28,Chin Up,Back,80.0,6,,,
2018-11-28,Chin Up,Back,80.0,5,,,
2018-11-28,Chin Up,Back,80.0,5,,,
2018-11-28,Chin Up,Back,80.0,4,,,
2018-11-28,Leg Press,Legs,130.0,12,,,
2018-11-28,Leg Press,Legs,130.0,12,,,
2018-11-28,Leg Press,Legs,130.0,12,,,
2018-11-28,Leg Press,Legs,130.0,12,,,
2018-11-30,Chin Up,Back,80.0,6,,,
2018-11-30,Chin Up,Back,80.0,6,,,
2018-11-30,Chin Up,Back,80.0,5,,,
2018-11-30,Chin Up,Back,80.0,5,,,
2018-11-30,Chin Up,Back,80.0,3,,,
2018-11-30,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-11-30,Seated Dumbbell Press,Shoulders,24.0,5,,,
2018-11-30,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-11-30,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-11-30,Seated Dumbbell Press,Shoulders,20.0,7,,,
2018-11-30,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-11-30,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-11-30,Seated Calf Raise Machine,Legs,25.0,25,,,
2018-11-30,Seated Calf Raise Machine,Legs,25.0,25,,,
2018-11-30,Seated Calf Raise Machine,Legs,25.0,25,,,
2018-12-03,Chin Up,Back,80.0,6,,,
2018-12-03,Chin Up,Back,80.0,5,,,
2018-12-03,Chin Up,Back,80.0,5,,,
2018-12-03,Chin Up,Back,80.0,5,,,
2018-12-03,Chin Up,Back,80.0,5,,,
2018-12-03,Chin Up,Back,80.0,3,,,
2018-12-03,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-12-03,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-12-03,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-12-03,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-12-03,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-12-03,Seated Calf Raise Machine,Legs,40.0,20,,,
2018-12-03,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-03,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-03,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-03,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-04,Leg Press,Legs,130.0,12,,,
2018-12-04,Leg Press,Legs,130.0,12,,,
2018-12-04,Leg Press,Legs,130.0,12,,,
2018-12-04,Leg Press,Legs,130.0,12,,,
2018-12-04,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-04,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-04,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-04,Seated Calf Raise Machine,Legs,30.0,25,,,
2018-12-07,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-12-07,Seated Dumbbell Press,Shoulders,18.0,12,,,
2018-12-07,Seated Dumbbell Press,Shoulders,18.0,10,,,
2018-12-07,Seated Dumbbell Press,Shoulders,18.0,10,,,
2018-12-07,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-12-08,Chin Up,Back,80.0,5,,,
2018-12-08,Chin Up,Back,80.0,5,,,
2018-12-08,Chin Up,Back,80.0,5,,,
2018-12-08,Chin Up,Back,80.0,5,,,
2018-12-08,Chin Up,Back,80.0,4,,,
2018-12-08,Leg Press,Legs,130.0,12,,,
2018-12-08,Leg Press,Legs,130.0,12,,,
2018-12-08,Leg Press,Legs,130.0,12,,,
2018-12-08,Leg Press,Legs,130.0,12,,,
2018-12-15,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-12-15,Seated Dumbbell Press,Shoulders,20.0,11,,,
2018-12-15,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-12-15,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-12-15,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-12-15,Chin Up,Back,80.0,5,,,
2018-12-15,Chin Up,Back,80.0,5,,,
2018-12-15,Chin Up,Back,80.0,6,,,
2018-12-15,Chin Up,Back,80.0,5,,,
2018-12-15,Chin Up,Back,80.0,5,,,
2018-12-15,Leg Press,Legs,130.0,12,,,
2018-12-15,Leg Press,Legs,130.0,12,,,
2018-12-15,Leg Press,Legs,130.0,12,,,
2018-12-15,Leg Press,Legs,130.0,12,,,
2018-12-17,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-12-17,Seated Dumbbell Press,Shoulders,20.0,11,,,
2018-12-17,Seated Dumbbell Press,Shoulders,20.0,9,,,
2018-12-17,Seated Dumbbell Press,Shoulders,20.0,7,,,
2018-12-17,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-12-17,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-17,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-17,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-17,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-17,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-17,Leg Press,Legs,130.0,12,,,
2018-12-17,Leg Press,Legs,130.0,12,,,
2018-12-17,Leg Press,Legs,130.0,12,,,
2018-12-17,Leg Press,Legs,130.0,12,,,
2018-12-18,Chin Up,Back,85.0,5,,,
2018-12-18,Chin Up,Back,85.0,5,,,
2018-12-18,Chin Up,Back,85.0,5,,,
2018-12-18,Chin Up,Back,80.0,5,,,
2018-12-18,Chin Up,Back,80.0,5,,,
2018-12-18,Lateral Dumbbell Raise,Shoulders,6.0,15,,,
2018-12-18,Lateral Dumbbell Raise,Shoulders,6.0,15,,,
2018-12-18,Lateral Dumbbell Raise,Shoulders,6.0,13,,,
2018-12-18,Lateral Dumbbell Raise,Shoulders,6.0,13,,,
2018-12-18,Lateral Dumbbell Raise,Shoulders,6.0,12,,,
2018-12-18,Lateral Dumbbell Raise,Shoulders,4.0,25,,,
2018-12-18,Barbell Curl,Biceps,15.0,15,,,
2018-12-18,Barbell Curl,Biceps,15.0,15,,,
2018-12-18,Barbell Curl,Biceps,15.0,15,,,
2018-12-18,Barbell Curl,Biceps,15.0,12,,,
2018-12-18,Barbell Curl,Biceps,15.0,10,,,
2018-12-20,Chin Up,Back,85.0,5,,,
2018-12-20,Chin Up,Back,85.0,5,,,
2018-12-20,Chin Up,Back,85.0,5,,,
2018-12-20,Chin Up,Back,80.0,5,,,
2018-12-20,Chin Up,Back,80.0,5,,,
2018-12-20,Leg Press,Legs,130.0,12,,,
2018-12-20,Leg Press,Legs,140.0,12,,,
2018-12-20,Leg Press,Legs,130.0,12,,,
2018-12-20,Leg Press,Legs,130.0,12,,,
2018-12-20,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-20,Seated Calf Raise Machine,Legs,25.0,40,,,
2018-12-20,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-20,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-20,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-22,Seated Dumbbell Press,Shoulders,20.0,12,,,
2018-12-22,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-12-22,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-12-22,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-12-22,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-12-22,Chin Up,Back,85.0,5,,,
2018-12-22,Chin Up,Back,85.0,5,,,
2018-12-22,Chin Up,Back,85.0,5,,,
2018-12-22,Chin Up,Back,80.0,5,,,
2018-12-22,Chin Up,Back,80.0,5,,,
2018-12-22,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-22,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-24,Chin Up,Back,85.0,5,,,
2018-12-24,Chin Up,Back,85.0,5,,,
2018-12-24,Chin Up,Back,85.0,5,,,
2018-12-24,Chin Up,Back,80.0,5,,,
2018-12-24,Leg Press,Legs,140.0,12,,,
2018-12-24,Leg Press,Legs,140.0,12,,,
2018-12-24,Leg Press,Legs,140.0,12,,,
2018-12-24,Leg Press,Legs,130.0,12,,,
2018-12-24,Leg Press,Legs,130.0,12,,,
2018-12-24,Seated Calf Raise Machine,Legs,25.0,40,,,
2018-12-24,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-24,Seated Calf Raise Machine,Legs,30.0,25,,,
2018-12-24,Seated Calf Raise Machine,Legs,30.0,25,,,
2018-12-24,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-27,Chin Up,Back,85.0,5,,,
2018-12-27,Chin Up,Back,85.0,5,,,
2018-12-27,Chin Up,Back,85.0,5,,,
2018-12-27,Chin Up,Back,80.0,5,,,
2018-12-27,Chin Up,Back,80.0,5,,,
2018-12-27,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-12-27,Seated Dumbbell Press,Shoulders,18.0,11,,,
2018-12-27,Seated Dumbbell Press,Shoulders,18.0,11,,,
2018-12-27,Seated Dumbbell Press,Shoulders,18.0,10,,,
2018-12-27,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-12-27,Lateral Dumbbell Raise,Shoulders,5.0,15,,,
2018-12-27,Lateral Dumbbell Raise,Shoulders,5.0,15,,,
2018-12-27,Lateral Dumbbell Raise,Shoulders,5.0,15,,,
2018-12-27,Lateral Dumbbell Raise,Shoulders,5.0,12,,,
2018-12-27,Lateral Dumbbell Raise,Shoulders,5.0,12,,,
2018-12-27,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-12-27,Seated Calf Raise Machine,Legs,25.0,35,,,
2018-12-27,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-27,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-29,Chin Up,Back,85.0,5,,,
2018-12-29,Chin Up,Back,85.0,5,,,
2018-12-29,Chin Up,Back,85.0,5,,,
2018-12-29,Chin Up,Back,85.0,5,,,
2018-12-29,Chin Up,Back,80.0,5,,,
2018-12-29,Leg Press,Legs,140.0,12,,,
2018-12-29,Leg Press,Legs,140.0,12,,,
2018-12-29,Leg Press,Legs,140.0,12,,,
2018-12-29,Leg Press,Legs,140.0,12,,,
2018-12-29,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-29,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-29,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-29,Seated Calf Raise Machine,Legs,25.0,30,,,
2018-12-31,Lateral Dumbbell Raise,Shoulders,7.0,15,,,
2018-12-31,Lateral Dumbbell Raise,Shoulders,7.0,15,,,
2018-12-31,Lateral Dumbbell Raise,Shoulders,7.0,15,,,
2018-12-31,Lateral Dumbbell Raise,Shoulders,7.0,12,,,
2018-12-31,Lateral Dumbbell Raise,Shoulders,7.0,10,,,
2018-12-31,Chin Up,Back,77.0,10,,,
2018-12-31,Chin Up,Back,77.0,5,,,
2018-12-31,Chin Up,Back,77.0,6,,,
2018-12-31,Chin Up,Back,77.0,5,,,
2018-12-31,Chin Up,Back,77.0,5,,,
2019-01-01,Lateral Dumbbell Raise,Shoulders,5.0,12,,,
2019-01-01,Lateral Dumbbell Raise,Shoulders,5.0,12,,,
2019-01-01,Lateral Dumbbell Raise,Shoulders,5.0,12,,,
